timestamp,lowest_price,page_lowest_price,computed_min_price,median_sale,num_listings,event_url,all_prices
2025-09-03T14:44:20.340915-04:00,148.64,148.64,148.64,,30,https://www.maizetix.com/games/168,"[148.64, 148.95, 150.0, 150.0, 150.0, 150.0, 150.0, 155.25, 155.25, 159.45, 160.5, 160.5, 160.5, 160.5, 160.5, 160.5, 165.75, 171.0, 171.0, 171.0, 171.0, 186.75, 199.01, 213.0, 213.0, 213.0, 234.0, 265.5, 265.5, 318.0]"
2025-09-03T14:45:16.560429-04:00,148.64,148.64,148.64,,30,https://www.maizetix.com/games/168,"[148.64, 148.95, 150.0, 150.0, 150.0, 150.0, 150.0, 155.25, 155.25, 159.45, 160.5, 160.5, 160.5, 160.5, 160.5, 160.5, 165.75, 171.0, 171.0, 171.0, 171.0, 186.75, 199.01, 213.0, 213.0, 213.0, 234.0, 265.5, 265.5, 318.0]"
2025-09-03T14:51:58.767768-04:00,148.64,148.64,148.64,,30,https://www.maizetix.com/games/168,"[148.64, 148.95, 150.0, 150.0, 150.0, 150.0, 150.0, 155.25, 155.25, 159.45, 160.5, 160.5, 160.5, 160.5, 160.5, 160.5, 165.75, 171.0, 171.0, 171.0, 171.0, 186.75, 199.01, 213.0, 213.0, 213.0, 234.0, 265.5, 265.5, 318.0]"
2025-09-03T14:53:54.913579-04:00,148.64,148.64,148.64,,30,https://www.maizetix.com/games/168,"[148.64, 148.95, 150.0, 150.0, 150.0, 150.0, 150.0, 155.25, 155.25, 159.45, 160.5, 160.5, 160.5, 160.5, 160.5, 160.5, 165.75, 171.0, 171.0, 171.0, 171.0, 186.75, 199.01, 213.0, 213.0, 213.0, 234.0, 265.5, 265.5, 318.0]"
2025-09-03T14:58:22.059268-04:00,148.64,148.64,148.64,,30,https://www.maizetix.com/games/168,"[148.64, 148.95, 150.0, 150.0, 150.0, 150.0, 150.0, 155.25, 155.25, 159.45, 160.5, 160.5, 160.5, 160.5, 160.5, 160.5, 165.75, 171.0, 171.0, 171.0, 171.0, 186.75, 199.01, 213.0, 213.0, 213.0, 234.0, 265.5, 265.5, 318.0]"
2025-09-03T15:10:41.745690-04:00,148.64,148.64,148.64,,30,https://www.maizetix.com/games/168,"[148.64, 148.95, 150.0, 150.0, 150.0, 150.0, 150.0, 155.25, 155.25, 159.45, 160.5, 160.5, 160.5, 160.5, 160.5, 160.5, 165.75, 171.0, 171.0, 171.0, 171.0, 186.75, 199.01, 213.0, 213.0, 213.0, 234.0, 265.5, 265.5, 318.0]"
2025-09-03T15:24:40.824527-04:00,148.64,148.64,148.64,,30,https://www.maizetix.com/games/168,"[148.64, 148.95, 150.0, 150.0, 150.0, 150.0, 150.0, 155.25, 155.25, 159.45, 160.5, 160.5, 160.5, 160.5, 160.5, 160.5, 165.75, 171.0, 171.0, 171.0, 171.0, 186.75, 199.01, 213.0, 213.0, 213.0, 234.0, 265.5, 265.5, 318.0]"
2025-09-03T15:35:49.721971-04:00,137.4,137.4,137.4,,31,https://www.maizetix.com/games/168,"[137.4, 148.64, 148.95, 150.0, 150.0, 150.0, 150.0, 150.0, 155.25, 155.25, 159.45, 160.5, 160.5, 160.5, 160.5, 160.5, 160.5, 165.75, 171.0, 171.0, 171.0, 171.0, 186.75, 199.01, 213.0, 213.0, 213.0, 234.0, 265.5, 265.5, 318.0]"
2025-09-03T15:44:49.892091-04:00,137.4,137.4,137.4,,31,https://www.maizetix.com/games/168,"[137.4, 148.64, 148.95, 150.0, 150.0, 150.0, 150.0, 150.0, 155.25, 155.25, 159.45, 160.5, 160.5, 160.5, 160.5, 160.5, 160.5, 165.75, 171.0, 171.0, 171.0, 171.0, 186.75, 199.01, 213.0, 213.0, 213.0, 234.0, 265.5, 265.5, 318.0]"
2025-09-03T15:54:08.159093-04:00,137.4,137.4,137.4,,31,https://www.maizetix.com/games/168,"[137.4, 148.64, 148.95, 150.0, 150.0, 150.0, 150.0, 150.0, 155.25, 155.25, 159.45, 160.5, 160.5, 160.5, 160.5, 160.5, 160.5, 165.75, 171.0, 171.0, 171.0, 171.0, 186.75, 199.01, 213.0, 213.0, 213.0, 234.0, 265.5, 265.5, 318.0]"
